user_id,movie_id,rating
25904,1663,3
25907,1663,3
25923,1663,3
25924,1663,3
25928,1663,2
25933,1663,4
25934,1663,4
25935,1663,4
25936,1663,5
25937,1663,2
25939,1663,4
25940,1663,4
25944,1663,5
25945,1663,4
25946,1663,5
25951,1663,2
25958,1663,2
25962,1663,3
25964,1663,4
25966,1663,4
25967,1663,3
25974,1663,4
25975,1663,5
25976,1663,3
25980,1663,2
25981,1663,3
25984,1663,4
25988,1663,5
25992,1663,2
25994,1663,5
25995,1663,4
25997,1663,3
25998,1663,3
26000,1663,3
26001,1663,4
26007,1663,4
26010,1663,4
26013,1663,2
26014,1663,4
26019,1663,3
26023,1663,3
26026,1663,3
26027,1663,4
26029,1663,4
26034,1663,2
26035,1663,4
26036,1663,3
26037,1663,3
26041,1663,4
26042,1663,3
26045,1663,3
26046,1663,3
26048,1663,5
26054,1663,4
26061,1663,3
26065,1663,4
26074,1663,3
26076,1663,5
26078,1663,3
26079,1663,3
26080,1663,4
26081,1663,5
26083,1663,4
26085,1663,2
26086,1663,4
26087,1663,3
26092,1663,4
26094,1663,4
26097,1663,4
26101,1663,2
26105,1663,3
26106,1663,3
26109,1663,4
26112,1663,5
26113,1663,3
26121,1663,3
26124,1663,3
26126,1663,3
26132,1663,3
26135,1663,3
26137,1663,2
26140,1663,4
26142,1663,3
26143,1663,3
26144,1663,3
26145,1663,4
26146,1663,4
26154,1663,4
26159,1663,3
26163,1663,4
26167,1663,3
26169,1663,3
26171,1663,5
26176,1663,3
26177,1663,4
26178,1663,3
26180,1663,5
26181,1663,4
26182,1663,3
26183,1663,5
26185,1663,4
26187,1663,4
26192,1663,3
26195,1663,4
26200,1663,4
26201,1663,5
26203,1663,3
26204,1663,3
26210,1663,4
26211,1663,3
26223,1663,4
26225,1663,4
26226,1663,3
26227,1663,3
26228,1663,4
26229,1663,4
26230,1663,3
26231,1663,3
26233,1663,4
26236,1663,5
26238,1663,4
26240,1663,3
26242,1663,4
26243,1663,4
26252,1663,3
26259,1663,3
26264,1663,4
26265,1663,3
26266,1663,3
26267,1663,3
26270,1663,5
26271,1663,3
26276,1663,1
26282,1663,4
26289,1663,4
26290,1663,3
26292,1663,4
26294,1663,2
26298,1663,4
26301,1663,4
26303,1663,4
26306,1663,3
26307,1663,4
26308,1663,3
26310,1663,5
26311,1663,4
26312,1663,2
26313,1663,3
26314,1663,5
26316,1663,3
26320,1663,2
26323,1663,4
26324,1663,3
26326,1663,3
26327,1663,4
26332,1663,3
26333,1663,3
26336,1663,3
26338,1663,2
26339,1663,5
26342,1663,3
26345,1663,3
26346,1663,2
26353,1663,2
26354,1663,4
26358,1663,4
26359,1663,4
26360,1663,4
26361,1663,3
26362,1663,4
26363,1663,2
26366,1663,4
26370,1663,4
26371,1663,4
26383,1663,3
26387,1663,4
26389,1663,4
26391,1663,1
26395,1663,3
26399,1663,4
26400,1663,3
26402,1663,1
26404,1663,3
26405,1663,4
26409,1663,3
26415,1663,3
26426,1663,4
26427,1663,4
26435,1663,4
26436,1663,4
26440,1663,4
26442,1663,5
26443,1663,4
26447,1663,3
26449,1663,3
26450,1663,4
26452,1663,1
26454,1663,4
26455,1663,5
26466,1663,5
26469,1663,3
26470,1663,4
26471,1663,4
26474,1663,3
26475,1663,3
26477,1663,5
26478,1663,3
26480,1663,3
26481,1663,1
26484,1663,4
26487,1663,4
26490,1663,2
26491,1663,2
26493,1663,4
26495,1663,3
26497,1663,3
26501,1663,4
26504,1663,4
26507,1663,5
26513,1663,4
26518,1663,4
26520,1663,4
26521,1663,5
26523,1663,5
26529,1663,3
26533,1663,3
26536,1663,1
26537,1663,4
26538,1663,4
26539,1663,4
26542,1663,4
26549,1663,4
26551,1663,4
26552,1663,4
26564,1663,4
26565,1663,3
26567,1663,5
26568,1663,4
26569,1663,4
26572,1663,4
26573,1663,3
26580,1663,2
26586,1663,4
26587,1663,3
26589,1663,4
26591,1663,2
26593,1663,4
26595,1663,4
26599,1663,4
26603,1663,4
26604,1663,3
26606,1663,4
26610,1663,4
26613,1663,4
26616,1663,3
26618,1663,4
26620,1663,4
26621,1663,4
26625,1663,4
26626,1663,4
26629,1663,4
26631,1663,3
26632,1663,5
26635,1663,4
26636,1663,2
26639,1663,4
26648,1663,3
26654,1663,4
26655,1663,5
26657,1663,3
26660,1663,5
26661,1663,5
26666,1663,4
26668,1663,3
26674,1663,3
26678,1663,3
26680,1663,4
26689,1663,4
26691,1663,4
26695,1663,3
26698,1663,5
26705,1663,3
26710,1663,4
26711,1663,3
26715,1663,4
26717,1663,3
26725,1663,3
26731,1663,4
26732,1663,3
26737,1663,5
26742,1663,3
26744,1663,4
26746,1663,4
26749,1663,5
26752,1663,4
26757,1663,4
26759,1663,3
26760,1663,1
26762,1663,4
26769,1663,5
26773,1663,3
26776,1663,1
26777,1663,4
26778,1663,2
26783,1663,3
26786,1663,2
26789,1663,5
26791,1663,4
26792,1663,4
26793,1663,5
26795,1663,4
26800,1663,4
26802,1663,3
26803,1663,3
26814,1663,4
26815,1663,4
26816,1663,3
26819,1663,5
26820,1663,4
26821,1663,3
26822,1663,5
26823,1663,3
26824,1663,5
26825,1663,3
26830,1663,4
26834,1663,4
26835,1663,3
26839,1663,3
26843,1663,5
26845,1663,4
26846,1663,3
26847,1663,3
26848,1663,5
26850,1663,2
26851,1663,4
26852,1663,4
26854,1663,2
26855,1663,3
26856,1663,3
